Year,region,state,group,method,deaths,group_percent
2005,South,Maryland,Veteran Method,Firearms,64,67.4
2005,South,Maryland,Veteran Method,Other and low-count methods,18,18.9
2005,South,Mississippi,Veteran Method,Other and low-count methods,61,100
2005,South,North Carolina,Veteran Method,Poisoning,26,12.9
2005,South,North Carolina,Veteran Method,Firearms,149,73.8
2005,South,North Carolina,Veteran Method,Other and low-count methods,27,13.4
2005,South,Oklahoma,Veteran Method,Poisoning,12,11.7
2005,South,Oklahoma,Veteran Method,Firearms,72,69.9
2005,South,Oklahoma,Veteran Method,Other and low-count methods,19,18.4
2005,South,South Carolina,Veteran Method,Poisoning,12,15.6
2005,South,South Carolina,Veteran Method,Firearms,54,70.1
2005,South,South Carolina,Veteran Method,Other and low-count methods,11,14.3
2005,South,Tennessee,Veteran Method,Suffocation,22,13.6
2005,South,Tennessee,Veteran Method,Poisoning,11,6.8
2005,South,Tennessee,Veteran Method,Firearms,119,73.5
2005,South,Tennessee,Veteran Method,Other suicide,10,6.2
2005,South,Texas,Veteran Method,Suffocation,59,14.2
2005,South,Texas,Veteran Method,Poisoning,43,10.4
2005,South,Texas,Veteran Method,Firearms,297,71.6
2005,South,Texas,Veteran Method,Other suicide,16,3.9
2005,South,Virginia,Veteran Method,Poisoning,26,13.7
2005,South,Virginia,Veteran Method,Firearms,137,72.1
2005,South,Virginia,Veteran Method,Other and low-count methods,27,14.2
2005,South,West Virginia,Veteran Method,Other and low-count methods,57,100
2005,West,All,Veteran Method,Suffocation,192,13.1
2005,West,All,Veteran Method,Poisoning,228,15.5
2005,West,All,Veteran Method,Firearms,968,65.8
2005,West,All,Veteran Method,Other suicide,83,5.6
2005,West,Alaska,Veteran Method,Other and low-count methods,22,100
2005,West,Arizona,Veteran Method,Suffocation,23,12.6
2005,West,Arizona,Veteran Method,Poisoning,20,10.9
2005,West,Arizona,Veteran Method,Firearms,126,68.9
2005,West,Arizona,Veteran Method,Other suicide,14,7.7
2005,West,California,Veteran Method,Suffocation,77,16.5
2005,West,California,Veteran Method,Poisoning,65,13.9
2005,West,California,Veteran Method,Firearms,292,62.7
2005,West,California,Veteran Method,Other suicide,32,6.9
2005,West,Colorado,Veteran Method,Poisoning,37,22.8
2005,West,Colorado,Veteran Method,Firearms,103,63.6
2005,West,Colorado,Veteran Method,Other and low-count methods,22,13.6
2005,West,Hawaii,Veteran Method,Other and low-count methods,15,100
2005,West,Idaho,Veteran Method,Other and low-count methods,52,100
2005,West,Montana,Veteran Method,Firearms,37,75.5
2005,West,Montana,Veteran Method,Other and low-count methods,12,24.5
2005,West,Nevada,Veteran Method,Suffocation,16,14.7
2005,West,Nevada,Veteran Method,Firearms,74,67.9
2005,West,Nevada,Veteran Method,Other and low-count methods,19,17.4
2005,West,New Mexico,Veteran Method,Suffocation,12,18.5
2005,West,New Mexico,Veteran Method,Firearms,40,61.5
2005,West,New Mexico,Veteran Method,Other and low-count methods,13,20
2005,West,Oregon,Veteran Method,Poisoning,25,21.4
2005,West,Oregon,Veteran Method,Firearms,81,69.2
2005,West,Oregon,Veteran Method,Other and low-count methods,11,9.4
2005,West,Utah,Veteran Method,Firearms,28,73.7
2005,West,Utah,Veteran Method,Other and low-count methods,10,26.3
2005,West,Washington,Veteran Method,Suffocation,20,11.8
2005,West,Washington,Veteran Method,Poisoning,34,20
2005,West,Washington,Veteran Method,Firearms,103,60.6
2005,West,Washington,Veteran Method,Other suicide,13,7.6
2005,West,Wyoming,Veteran Method,Other and low-count methods,23,100
2005,Northeast,All,General Adult Population Method,Suffocation,"1,235",28.7
2005,Northeast,All,General Adult Population Method,Poisoning,744,17.3
2005,Northeast,All,General Adult Population Method,Firearms,"1,788",41.6
2005,Northeast,All,General Adult Population Method,Other suicide,531,12.4
2005,Northeast,Connecticut,General Adult Population Method,Suffocation,96,33.8
2005,Northeast,Connecticut,General Adult Population Method,Poisoning,44,15.5
2005,Northeast,Connecticut,General Adult Population Method,Firearms,110,38.7
2005,Northeast,Connecticut,General Adult Population Method,Other suicide,34,12
2005,Northeast,Maine,General Adult Population Method,Suffocation,35,20.2
2005,Northeast,Maine,General Adult Population Method,Poisoning,28,16.2
2005,Northeast,Maine,General Adult Population Method,Firearms,99,57.2
2005,Northeast,Maine,General Adult Population Method,Other suicide,11,6.4
2005,Northeast,Massachusetts,General Adult Population Method,Suffocation,193,41.2
2005,Northeast,Massachusetts,General Adult Population Method,Poisoning,108,23.1
2005,Northeast,Massachusetts,General Adult Population Method,Firearms,111,23.7
2005,Northeast,Massachusetts,General Adult Population Method,Other suicide,56,12
2005,Northeast,New Hampshire,General Adult Population Method,Suffocation,37,23.4
2005,Northeast,New Hampshire,General Adult Population Method,Poisoning,27,17.1
2005,Northeast,New Hampshire,General Adult Population Method,Firearms,79,50
2005,Northeast,New Hampshire,General Adult Population Method,Other suicide,15,9.5
2005,Northeast,New Jersey,General Adult Population Method,Suffocation,192,36.6
2005,Northeast,New Jersey,General Adult Population Method,Poisoning,116,22.1
2005,Northeast,New Jersey,General Adult Population Method,Firearms,134,25.6
2005,Northeast,New Jersey,General Adult Population Method,Other suicide,82,15.6
2005,Northeast,New York,General Adult Population Method,Suffocation,343,29.7
2005,Northeast,New York,General Adult Population Method,Poisoning,147,12.7
2005,Northeast,New York,General Adult Population Method,Firearms,447,38.7
2005,Northeast,New York,General Adult Population Method,Other suicide,217,18.8
2005,Northeast,Pennsylvania,General Adult Population Method,Suffocation,301,21.6
2005,Northeast,Pennsylvania,General Adult Population Method,Poisoning,233,16.7
2005,Northeast,Pennsylvania,General Adult Population Method,Firearms,755,54.2
2005,Northeast,Pennsylvania,General Adult Population Method,Other suicide,104,7.5
2005,Northeast,Rhode Island,General Adult Population Method,Suffocation,18,26.5
2005,Northeast,Rhode Island,General Adult Population Method,Poisoning,24,35.3
2005,Northeast,Rhode Island,General Adult Population Method,Other and low-count methods,26,38.2
2005,Northeast,Vermont,General Adult Population Method,Suffocation,20,26.3
2005,Northeast,Vermont,General Adult Population Method,Firearms,35,46.1
2005,Northeast,Vermont,General Adult Population Method,Other and low-count methods,21,27.6
2005,Midwest,All,General Adult Population Method,Suffocation,"1,542",21.9
2005,Midwest,All,General Adult Population Method,Poisoning,"1,432",20.4
2005,Midwest,All,General Adult Population Method,Firearms,"3,540",50.4
2005,Midwest,All,General Adult Population Method,Other suicide,515,7.3
2005,Midwest,Illinois,General Adult Population Method,Suffocation,311,29.2
2005,Midwest,Illinois,General Adult Population Method,Poisoning,204,19.2
2005,Midwest,Illinois,General Adult Population Method,Firearms,421,39.5
2005,Midwest,Illinois,General Adult Population Method,Other suicide,129,12.1
2005,Midwest,Indiana,General Adult Population Method,Suffocation,144,20
2005,Midwest,Indiana,General Adult Population Method,Poisoning,123,17.1
2005,Midwest,Indiana,General Adult Population Method,Firearms,406,56.3
2005,Midwest,Indiana,General Adult Population Method,Other suicide,48,6.7
2005,Midwest,Iowa,General Adult Population Method,Suffocation,69,21.4
2005,Midwest,Iowa,General Adult Population Method,Poisoning,61,18.9
2005,Midwest,Iowa,General Adult Population Method,Firearms,167,51.9
2005,Midwest,Iowa,General Adult Population Method,Other suicide,25,7.8
2005,Midwest,Kansas,General Adult Population Method,Suffocation,68,19.2
2005,Midwest,Kansas,General Adult Population Method,Poisoning,79,22.3
2005,Midwest,Kansas,General Adult Population Method,Firearms,187,52.8
2005,Midwest,Kansas,General Adult Population Method,Other suicide,20,5.6
2005,Midwest,Michigan,General Adult Population Method,Suffocation,242,22.5
2005,Midwest,Michigan,General Adult Population Method,Poisoning,233,21.7
2005,Midwest,Michigan,General Adult Population Method,Firearms,544,50.7
2005,Midwest,Michigan,General Adult Population Method,Other suicide,55,5.1
2005,Midwest,Minnesota,General Adult Population Method,Suffocation,115,22.4
2005,Midwest,Minnesota,General Adult Population Method,Poisoning,114,22.2
2005,Midwest,Minnesota,General Adult Population Method,Firearms,242,47.1
2005,Midwest,Minnesota,General Adult Population Method,Other suicide,43,8.4
2005,Midwest,Missouri,General Adult Population Method,Suffocation,114,16.2
2005,Midwest,Missouri,General Adult Population Method,Poisoning,137,19.4
2005,Midwest,Missouri,General Adult Population Method,Firearms,419,59.4
2005,Midwest,Missouri,General Adult Population Method,Other suicide,35,5
2005,Midwest,Nebraska,General Adult Population Method,Suffocation,43,24.9
2005,Midwest,Nebraska,General Adult Population Method,Firearms,91,52.6
2005,Midwest,Nebraska,General Adult Population Method,Other and low-count methods,39,22.5
2005,Midwest,North Dakota,General Adult Population Method,Suffocation,18,21.2
2005,Midwest,North Dakota,General Adult Population Method,Firearms,51,60
2005,Midwest,North Dakota,General Adult Population Method,Other and low-count methods,16,18.8
2005,Midwest,Ohio,General Adult Population Method,Suffocation,278,21.5
2005,Midwest,Ohio,General Adult Population Method,Poisoning,261,20.2
2005,Midwest,Ohio,General Adult Population Method,Firearms,654,50.5
2005,Midwest,Ohio,General Adult Population Method,Other suicide,102,7.9
2005,Midwest,South Dakota,General Adult Population Method,Poisoning,25,22.5
2005,Midwest,South Dakota,General Adult Population Method,Firearms,66,59.5
2005,Midwest,South Dakota,General Adult Population Method,Other and low-count methods,20,18
2005,Midwest,Wisconsin,General Adult Population Method,Suffocation,122,20
2005,Midwest,Wisconsin,General Adult Population Method,Poisoning,150,24.6
2005,Midwest,Wisconsin,General Adult Population Method,Firearms,292,47.9
2005,Midwest,Wisconsin,General Adult Population Method,Other suicide,46,7.5
2005,South,All,General Adult Population Method,Suffocation,"2,220",18.1
2005,South,All,General Adult Population Method,Poisoning,"1,932",15.7
2005,South,All,General Adult Population Method,Firearms,"7,323",59.6
2005,South,All,General Adult Population Method,Other suicide,810,6.6
2005,South,Alabama,General Adult Population Method,Suffocation,88,16.7
2005,South,Alabama,General Adult Population Method,Poisoning,43,8.2
2005,South,Alabama,General Adult Population Method,Firearms,366,69.6
2005,South,Alabama,General Adult Population Method,Other suicide,29,5.5
2005,South,Arkansas,General Adult Population Method,Poisoning,66,17.6
2005,South,Arkansas,General Adult Population Method,Firearms,242,64.4
2005,South,Arkansas,General Adult Population Method,Other and low-count methods,68,18.1
2005,South,Delaware,General Adult Population Method,Suffocation,21,25.9
2005,South,Delaware,General Adult Population Method,Poisoning,10,12.3
2005,South,Delaware,General Adult Population Method,Firearms,40,49.4
2005,South,Delaware,General Adult Population Method,Other suicide,10,12.3
2005,South,District of Columbia,General Adult Population Method,Firearms,10,30.3
2005,South,District of Columbia,General Adult Population Method,Other and low-count methods,23,69.7
2005,South,Florida,General Adult Population Method,Suffocation,458,20
2005,South,Florida,General Adult Population Method,Poisoning,474,20.7
2005,South,Florida,General Adult Population Method,Firearms,"1,138",49.7
2005,South,Florida,General Adult Population Method,Other suicide,219,9.6
2005,South,Georgia,General Adult Population Method,Suffocation,156,17.3
2005,South,Georgia,General Adult Population Method,Poisoning,118,13.1
2005,South,Georgia,General Adult Population Method,Firearms,577,64
2005,South,Georgia,General Adult Population Method,Other suicide,50,5.5
2005,South,Kentucky,General Adult Population Method,Suffocation,95,17.1
2005,South,Kentucky,General Adult Population Method,Poisoning,67,12.1
2005,South,Kentucky,General Adult Population Method,Firearms,365,65.9
2005,South,Kentucky,General Adult Population Method,Other suicide,27,4.9
2005,South,Louisiana,General Adult Population Method,Suffocation,73,15.1
2005,South,Louisiana,General Adult Population Method,Poisoning,48,9.9
2005,South,Louisiana,General Adult Population Method,Firearms,338,70
2005,South,Louisiana,General Adult Population Method,Other suicide,24,5
2005,South,Maryland,General Adult Population Method,Suffocation,110,24.4
2005,South,Maryland,General Adult Population Method,Poisoning,73,16.2
2005,South,Maryland,General Adult Population Method,Firearms,215,47.7
2005,South,Maryland,General Adult Population Method,Other suicide,53,11.8
2005,South,Mississippi,General Adult Population Method,Suffocation,60,17
2005,South,Mississippi,General Adult Population Method,Poisoning,34,9.6
2005,South,Mississippi,General Adult Population Method,Firearms,248,70.3
2005,South,Mississippi,General Adult Population Method,Other suicide,11,3.1
2005,South,North Carolina,General Adult Population Method,Suffocation,129,13.2
2005,South,North Carolina,General Adult Population Method,Poisoning,191,19.5
2005,South,North Carolina,General Adult Population Method,Firearms,615,62.8
2005,South,North Carolina,General Adult Population Method,Other suicide,45,4.6
2005,South,Oklahoma,General Adult Population Method,Suffocation,84,16.4
2005,South,Oklahoma,General Adult Population Method,Poisoning,92,18
2005,South,Oklahoma,General Adult Population Method,Firearms,299,58.5
2005,South,Oklahoma,General Adult Population Method,Other suicide,36,7
2005,South,South Carolina,General Adult Population Method,Suffocation,99,20
2005,South,South Carolina,General Adult Population Method,Poisoning,67,13.6
2005,South,South Carolina,General Adult Population Method,Firearms,306,61.9
2005,South,South Carolina,General Adult Population Method,Other suicide,22,4.5
2005,South,Tennessee,General Adult Population Method,Suffocation,122,14.5
2005,South,Tennessee,General Adult Population Method,Poisoning,125,14.8
2005,South,Tennessee,General Adult Population Method,Firearms,546,64.8
2005,South,Tennessee,General Adult Population Method,Other suicide,50,5.9
2005,South,Texas,General Adult Population Method,Suffocation,486,20.9
2005,South,Texas,General Adult Population Method,Poisoning,351,15.1
2005,South,Texas,General Adult Population Method,Firearms,"1,336",57.5
2005,South,Texas,General Adult Population Method,Other suicide,150,6.5
2005,South,Virginia,General Adult Population Method,Suffocation,141,16.8
2005,South,Virginia,General Adult Population Method,Poisoning,143,17
2005,South,Virginia,General Adult Population Method,Firearms,499,59.5
2005,South,Virginia,General Adult Population Method,Other suicide,56,6.7
2005,South,West Virginia,General Adult Population Method,Suffocation,32,12.9
2005,South,West Virginia,General Adult Population Method,Poisoning,22,8.9
2005,South,West Virginia,General Adult Population Method,Firearms,183,73.8
2005,South,West Virginia,General Adult Population Method,Other suicide,11,4.4
2005,West,All,General Adult Population Method,Suffocation,"1,743",21.8
2005,West,All,General Adult Population Method,Poisoning,"1,575",19.7
2005,West,All,General Adult Population Method,Firearms,"3,938",49.2
2005,West,All,General Adult Population Method,Other suicide,742,9.3
2005,West,Alaska,General Adult Population Method,Suffocation,26,20.8
2005,West,Alaska,General Adult Population Method,Firearms,83,66.4
2005,West,Alaska,General Adult Population Method,Other and low-count methods,16,12.8
2005,West,Arizona,General Adult Population Method,Suffocation,202,22.3
2005,West,Arizona,General Adult Population Method,Poisoning,146,16.1
2005,West,Arizona,General Adult Population Method,Firearms,498,55
2005,West,Arizona,General Adult Population Method,Other suicide,60,6.6
2005,West,California,General Adult Population Method,Suffocation,800,25.6
2005,West,California,General Adult Population Method,Poisoning,611,19.6
2005,West,California,General Adult Population Method,Firearms,"1,302",41.7
2005,West,California,General Adult Population Method,Other suicide,411,13.2
2005,West,Colorado,General Adult Population Method,Suffocation,174,22.6
2005,West,Colorado,General Adult Population Method,Poisoning,176,22.8
2005,West,Colorado,General Adult Population Method,Firearms,386,50.1
2005,West,Colorado,General Adult Population Method,Other suicide,35,4.5
2005,West,Hawaii,General Adult Population Method,Suffocation,48,46.6
2005,West,Hawaii,General Adult Population Method,Poisoning,17,16.5
2005,West,Hawaii,General Adult Population Method,Firearms,21,20.4
2005,West,Hawaii,General Adult Population Method,Other suicide,17,16.5
2005,West,Idaho,General Adult Population Method,Suffocation,21,9.5
2005,West,Idaho,General Adult Population Method,Poisoning,34,15.3
2005,West,Idaho,General Adult Population Method,Firearms,155,69.8
2005,West,Idaho,General Adult Population Method,Other suicide,12,5.4
2005,West,Montana,General Adult Population Method,Poisoning,31,16.1
2005,West,Montana,General Adult Population Method,Firearms,125,65.1
2005,West,Montana,General Adult Population Method,Other and low-count methods,36,18.8
2005,West,Nevada,General Adult Population Method,Suffocation,69,15
2005,West,Nevada,General Adult Population Method,Poisoning,107,23.2
2005,West,Nevada,General Adult Population Method,Firearms,256,55.5
2005,West,Nevada,General Adult Population Method,Other suicide,29,6.3
2005,West,New Mexico,General Adult Population Method,Suffocation,66,20.4
2005,West,New Mexico,General Adult Population Method,Poisoning,61,18.8
2005,West,New Mexico,General Adult Population Method,Firearms,172,53.1
2005,West,New Mexico,General Adult Population Method,Other suicide,25,7.7
2005,West,Oregon,General Adult Population Method,Suffocation,82,15
2005,West,Oregon,General Adult Population Method,Poisoning,116,21.2
2005,West,Oregon,General Adult Population Method,Firearms,311,57
2005,West,Oregon,General Adult Population Method,Other suicide,37,6.8
2005,West,Utah,General Adult Population Method,Suffocation,77,22.8
2005,West,Utah,General Adult Population Method,Poisoning,55,16.3
2005,West,Utah,General Adult Population Method,Firearms,186,55.2
2005,West,Utah,General Adult Population Method,Other suicide,19,5.6
2005,West,Washington,General Adult Population Method,Suffocation,136,17
2005,West,Washington,General Adult Population Method,Poisoning,195,24.3
2005,West,Washington,General Adult Population Method,Firearms,388,48.4
2005,West,Washington,General Adult Population Method,Other suicide,83,10.3
2005,West,Wyoming,General Adult Population Method,Poisoning,14,16.5
2005,West,Wyoming,General Adult Population Method,Firearms,55,64.7
2005,West,Wyoming,General Adult Population Method,Other and low-count methods,16,18.8
2006, ,Total U.S.,Veteran Method,Suffocation,872,14.6
2006, ,Total U.S.,Veteran Method,Poisoning,742,12.4
2006, ,Total U.S.,Veteran Method,Firearms,"4,006",67.1
2006, ,Total U.S.,Veteran Method,Other suicide,348,5.8
2006,Northeast,All,Veteran Method,Suffocation,160,22.7
2006,Northeast,All,Veteran Method,Poisoning,78,11
2006,Northeast,All,Veteran Method,Firearms,398,56.4
2006,Northeast,All,Veteran Method,Other suicide,70,9.9
2006,Northeast,Connecticut,Veteran Method,Suffocation,13,30.2
2006,Northeast,Connecticut,Veteran Method,Firearms,18,41.9
2006,Northeast,Connecticut,Veteran Method,Other and low-count methods,12,27.9
2006,Northeast,Maine,Veteran Method,Firearms,29,74.4
2006,Northeast,Maine,Veteran Method,Other and low-count methods,10,25.6
2006,Northeast,Massachusetts,Veteran Method,Suffocation,18,34.6
2006,Northeast,Massachusetts,Veteran Method,Firearms,17,32.7
2006,Northeast,Massachusetts,Veteran Method,Other and low-count methods,17,32.7
2006,Northeast,New Hampshire,Veteran Method,Firearms,20,60.6
2006,Northeast,New Hampshire,Veteran Method,Other and low-count methods,13,39.4
2006,Northeast,New Jersey,Veteran Method,Suffocation,16,23.9
2006,Northeast,New Jersey,Veteran Method,Firearms,32,47.8
2006,Northeast,New Jersey,Veteran Method,Other and low-count methods,19,28.4
2006,Northeast,New York,Veteran Method,Suffocation,44,25.1
2006,Northeast,New York,Veteran Method,Poisoning,11,6.3
2006,Northeast,New York,Veteran Method,Firearms,96,54.9
2006,Northeast,New York,Veteran Method,Other suicide,24,13.7
2006,Northeast,Pennsylvania,Veteran Method,Suffocation,46,17.7
2006,Northeast,Pennsylvania,Veteran Method,Poisoning,27,10.4
2006,Northeast,Pennsylvania,Veteran Method,Firearms,166,63.8
2006,Northeast,Pennsylvania,Veteran Method,Other suicide,21,8.1
2006,Northeast,Rhode Island,Veteran Method,Firearms,10,47.6
2006,Northeast,Rhode Island,Veteran Method,Other and low-count methods,11,52.4
2006,Northeast,Vermont,Veteran Method,Other and low-count methods,16,100
2006,Midwest,All,Veteran Method,Suffocation,210,15.3
2006,Midwest,All,Veteran Method,Poisoning,195,14.2
2006,Midwest,All,Veteran Method,Firearms,902,65.5
2006,Midwest,All,Veteran Method,Other suicide,70,5.1
2006,Midwest,Illinois,Veteran Method,Suffocation,21,13.4
2006,Midwest,Illinois,Veteran Method,Poisoning,22,14
2006,Midwest,Illinois,Veteran Method,Firearms,100,63.7
2006,Midwest,Illinois,Veteran Method,Other suicide,14,8.9
2006,Midwest,Indiana,Veteran Method,Suffocation,26,17.9
2006,Midwest,Indiana,Veteran Method,Firearms,99,68.3
2006,Midwest,Indiana,Veteran Method,Other and low-count methods,20,13.8
2006,Midwest,Iowa,Veteran Method,Suffocation,15,24.2
2006,Midwest,Iowa,Veteran Method,Firearms,33,53.2
2006,Midwest,Iowa,Veteran Method,Other and low-count methods,14,22.6
2006,Midwest,Kansas,Veteran Method,Poisoning,11,14.7
2006,Midwest,Kansas,Veteran Method,Firearms,50,66.7
2006,Midwest,Kansas,Veteran Method,Other and low-count methods,14,18.7
2006,Midwest,Michigan,Veteran Method,Suffocation,37,15.7
2006,Midwest,Michigan,Veteran Method,Poisoning,25,10.6
2006,Midwest,Michigan,Veteran Method,Firearms,163,69.1
2006,Midwest,Michigan,Veteran Method,Other suicide,11,4.7
2006,Midwest,Minnesota,Veteran Method,Poisoning,15,15.2
2006,Midwest,Minnesota,Veteran Method,Firearms,68,68.7
2006,Midwest,Minnesota,Veteran Method,Other and low-count methods,16,16.2
2006,Midwest,Missouri,Veteran Method,Poisoning,28,17.4
2006,Midwest,Missouri,Veteran Method,Firearms,116,72
2006,Midwest,Missouri,Veteran Method,Other and low-count methods,17,10.6
2006,Midwest,Nebraska,Veteran Method,Firearms,25,64.1
2006,Midwest,Nebraska,Veteran Method,Other and low-count methods,14,35.9
2006,Midwest,North Dakota,Veteran Method,Other and low-count methods,16,100
2006,Midwest,Ohio,Veteran Method,Suffocation,41,17.3
2006,Midwest,Ohio,Veteran Method,Poisoning,33,13.9
2006,Midwest,Ohio,Veteran Method,Firearms,152,64.1
2006,Midwest,Ohio,Veteran Method,Other suicide,11,4.6
2006,Midwest,South Dakota,Veteran Method,Other and low-count methods,24,100
2006,Midwest,Wisconsin,Veteran Method,Suffocation,25,19.8
2006,Midwest,Wisconsin,Veteran Method,Firearms,68,54
2006,Midwest,Wisconsin,Veteran Method,Other and low-count methods,33,26.2
2006,South,All,Veteran Method,Suffocation,289,12
2006,South,All,Veteran Method,Poisoning,259,10.8
2006,South,All,Veteran Method,Firearms,"1,746",72.7
2006,South,All,Veteran Method,Other suicide,109,4.5
2006,South,Alabama,Veteran Method,Poisoning,10,8.5
2006,South,Alabama,Veteran Method,Firearms,96,81.4
2006,South,Alabama,Veteran Method,Other and low-count methods,12,10.2
2006,South,Arkansas,Veteran Method,Firearms,59,74.7
2006,South,Arkansas,Veteran Method,Other and low-count methods,20,25.3
2006,South,Delaware,Veteran Method,Other and low-count methods,16,100
2006,South,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2006,South,Florida,Veteran Method,Suffocation,62,12.4
