Year,age_1,nonvet_deaths,nonvet_pop,nonvet_rate,male_nonvet_deaths,male_nonvet_pop,male_nonvet_rate,age_2,female_nonvet_deaths,female_nonvet_pop,female_nonvet_rate
2014,55–74,"9,183","57,453,329",16.0,"6,569","23,137,239",28.4,55,"3,084","46,013,273",6.7
2014,75,"2,127","15,123,689",14.1,"1,657","3,426,506",48.4,.,.,.,.
2014,Total,"34,891","222,697,660",15.7,"25,923","98,696,236",26.3,Total,"8,968","124,001,424",7.2
2015,18–34,"10,611","72,433,046",14.6,"8,373","35,885,972",23.3,18–34,"2,238","36,547,074",6.1
2015,35–54,"13,830","78,051,087",17.7,"9,928","36,551,229",27.2,35–54,"3,902","41,499,858",9.4
2015,55–74,"9,469","59,535,826",15.9,"6,682","24,230,337",27.6,55,"3,320","47,145,341",7.0
2015,75,"2,330","15,585,213",15.0,"1,797","3,745,361",48.0,.,.,.,.
2015,Total,"36,236","225,605,172",16.1,"26,776","100,412,899",26.7,Total,"9,460","125,192,273",7.6
2016,18–34,"11,108","72,649,044",15.3,"8,861","36,044,080",24.6,18–34,"2,247","36,604,964",6.1
2016,35–54,"13,778","77,690,035",17.7,"9,931","36,440,513",27.3,35–54,"3,847","41,249,522",9.3
2016,55–74,"9,773","61,327,215",15.9,"6,901","25,163,311",27.4,55,"3,377","48,215,096",7.0
2016,75,"2,466","15,999,357",15.4,"1,961","3,948,165",49.7,.,.,.,.
2016,Total,"37,117","227,665,651",16.3,"27,646","101,596,069",27.2,Total,"9,471","126,069,582",7.5
2017,18–34,"12,075","73,073,640",16.5,"9,655","36,333,125",26.6,18–34,"2,420","36,740,515",6.6
2017,35–54,"14,115","77,862,631",18.1,"10,282","36,623,865",28.1,35–54,"3,833","41,238,766",9.3
2017,55–74,"10,154","63,106,543",16.1,"7,316","26,140,501",28.0,55,"3,333","49,277,593",6.8
2017,75,"2,654","16,581,836",16.0,"2,159","4,270,285",50.6,.,.,.,.
2017,Total,"38,991","230,624,650",16.9,"29,405","103,367,776",28.4,Total,"9,586","127,256,874",7.5
2018,18–34,"12,128","73,341,900",16.5,"9,628","36,489,530",26.4,18–34,"2,500","36,852,370",6.8
2018,35–54,"14,136","77,678,532",18.2,"10,380","36,632,350",28.3,35–54,"3,756","41,046,182",9.2
2018,55–74,"10,927","64,330,216",17.0,"7,926","26,806,077",29.6,55,"3,511","50,227,470",7.0
2018,75,"2,891","17,329,801",16.7,"2,381","4,626,470",51.5,.,.,.,.
2018,Total,"40,075","232,680,449",17.2,"30,308","104,554,427",29.0,Total,"9,767","128,126,022",7.6
