Year,region,state,age,vet_deaths,vet_rate,pop_deaths,pop_rate
2005,Northeast,Rhode Island,55–74,<10,—,19,10.9*
2005,Northeast,Rhode Island,75,<10,—,<10,—
2005,Northeast,Vermont,Total,14,25.5*,76,16.2
2005,Northeast,Vermont,18–34,<10,—,21,17.5
2005,Northeast,Vermont,35–54,10,66.7*,37,18.9
2005,Northeast,Vermont,55–74,<10,—,10–20,—
2005,Northeast,Vermont,75,<10,—,<10,—
2005,Midwest,All,Total,1428,25.7,7029,14.6
2005,Midwest,All,18–34,127,26.7,1974,13.8
2005,Midwest,All,35–54,525,31.7,3084,16.2
2005,Midwest,All,55–74,472,20.9,1367,12.7
2005,Midwest,All,75,303,25.9,604,15.7
2005,Midwest,Illinois,Total,198,22.4,1065,11.6
2005,Midwest,Illinois,18–34,26,33.8,289,10.1
2005,Midwest,Illinois,35–54,71,29.2,455,12.5
2005,Midwest,Illinois,55–74,65,18,229,11.5
2005,Midwest,Illinois,75,36,17.9,92,13.4
2005,Midwest,Indiana,Total,151,27.9,721,16
2005,Midwest,Indiana,18–34,18,40.9*,210,15.5
2005,Midwest,Indiana,35–54,54,31.2,311,17.5
2005,Midwest,Indiana,55–74,42,19.4,140,13.8
2005,Midwest,Indiana,75,37,34.6,60,17.4
2005,Midwest,Iowa,Total,63,24,322,14.7
2005,Midwest,Iowa,18–34,<10,—,101,16
2005,Midwest,Iowa,35–54,20,27,137,16.2
2005,Midwest,Iowa,55–74,24,22.4,58,11.3
2005,Midwest,Iowa,75,10–20,—,26,12.9
2005,Midwest,Kansas,Total,70,27.5,354,17.9
2005,Midwest,Kansas,18–34,<10,—,104,17
2005,Midwest,Kansas,35–54,25,32.9,150,19.5
2005,Midwest,Kansas,55–74,22,22.4,66,15.2
2005,Midwest,Kansas,75,10–20,—,34,20.9
2005,Midwest,Michigan,Total,193,23.1,1074,14.6
2005,Midwest,Michigan,18–34,17,27.0*,296,13.8
2005,Midwest,Michigan,35–54,72,28.8,486,16.4
2005,Midwest,Michigan,55–74,63,18.4,204,12.4
2005,Midwest,Michigan,75,41,22.8,88,14.9
2005,Midwest,Minnesota,Total,93,21.7,514,13.7
2005,Midwest,Minnesota,18–34,<10,—,158,13.9
2005,Midwest,Minnesota,35–54,35,27.6,223,14.5
2005,Midwest,Minnesota,55–74,32,17.7,95,11.8
2005,Midwest,Minnesota,75,20–30,—,38,13.6
2005,Midwest,Missouri,Total,157,28.1,705,16.6
2005,Midwest,Missouri,18–34,15,30.6*,173,13.7
2005,Midwest,Missouri,35–54,63,37.7,342,20.6
2005,Midwest,Missouri,55–74,47,20.3,140,14
2005,Midwest,Missouri,75,32,29.1,50,15.1
2005,Midwest,Nebraska,Total,35,21.6,173,13.6
2005,Midwest,Nebraska,18–34,<10,—,46,11.8
2005,Midwest,Nebraska,35–54,14,28.6*,85,17.4
2005,Midwest,Nebraska,55–74,13,20.3*,28,9.9
2005,Midwest,Nebraska,75,<10,—,14,13.0*
2005,Midwest,North Dakota,Total,19,30.6*,85,18.1
2005,Midwest,North Dakota,18–34,<10,—,38,27.6
2005,Midwest,North Dakota,35–54,<10,—,29,16.1
2005,Midwest,North Dakota,55–74,<10,—,10–20,—
2005,Midwest,North Dakota,75,<10,—,<10,—
2005,Midwest,Ohio,Total,292,28.2,1295,15.4
2005,Midwest,Ohio,18–34,21,23.9,341,14.2
2005,Midwest,Ohio,35–54,106,33.1,556,16.6
2005,Midwest,Ohio,55–74,101,24.6,264,13.6
2005,Midwest,Ohio,75,64,29.5,134,19
2005,Midwest,South Dakota,Total,32,41,111,19.9
2005,Midwest,South Dakota,18–34,<10,—,35,21
2005,Midwest,South Dakota,35–54,10,41.7*,38,17.8
2005,Midwest,South Dakota,55–74,13,44.8*,24,18.8
2005,Midwest,South Dakota,75,<10,—,14,27.8*
2005,Midwest,Wisconsin,Total,125,26.9,610,15
2005,Midwest,Wisconsin,18–34,<10,—,183,15.5
2005,Midwest,Wisconsin,35–54,50,37.6,272,16.5
2005,Midwest,Wisconsin,55–74,41,20.6,106,11.6
2005,Midwest,Wisconsin,75,20–30,—,49,14.9
2005,South,Alabama,Total,116,27,526,15.7
2005,South,Alabama,18–34,15,34.1*,137,13.8
2005,South,Alabama,35–54,39,27.1,213,16.5
2005,South,Alabama,55–74,39,23.1,124,15.1
2005,South,Alabama,75,23,31.9,52,21
2005,South,All,Total,2429,25.3,12285,15.8
2005,South,All,18–34,257,25.1,3253,13.8
2005,South,All,35–54,843,26.6,5219,17.2
2005,South,All,55–74,779,20.9,2671,14.9
2005,South,All,75,549,32.1,1142,20.3
2005,South,Arkansas,Total,77,28.5,376,18.6
2005,South,Arkansas,18–34,<10,—,101,16.8
2005,South,Arkansas,35–54,37,43.5,162,21.3
2005,South,Arkansas,55–74,20,18.5,83,16.4
2005,South,Arkansas,75,10–20,—,30,19.1
2005,South,Delaware,Total,18,22.0*,81,13
2005,South,Delaware,18–34,<10,—,24,13.5
2005,South,Delaware,35–54,10,35.7*,35,14.2
2005,South,Delaware,55–74,<10,—,10–20,—
2005,South,Delaware,75,<10,—,<10,—
2005,South,District of Columbia,Total,<10,—,33,8.2
2005,South,District of Columbia,18–34,<10,—,11,8.0*
2005,South,District of Columbia,35–54,<10,—,<10,—
2005,South,District of Columbia,55–74,<10,—,10,11.4*
2005,South,District of Columbia,75,<10,—,<10,—
2005,South,Florida,Total,486,26.7,2289,17.2
2005,South,Florida,18–34,37,25,473,13.4
2005,South,Florida,35–54,173,32.5,967,19.6
2005,South,Florida,55–74,158,22.8,544,15.8
2005,South,Florida,75,118,26.3,305,21.9
2005,South,Georgia,Total,182,24.5,901,14
2005,South,Georgia,18–34,23,27.7,225,10.5
2005,South,Georgia,35–54,57,20.5,385,14.6
2005,South,Georgia,55–74,60,20.8,206,15.4
2005,South,Georgia,75,42,44.2,85,25.9
2005,South,Kentucky,Total,114,31.3,554,18
2005,South,Kentucky,18–34,16,47.1*,150,16.5
2005,South,Kentucky,35–54,52,44.8,257,21.1
2005,South,Kentucky,55–74,25,16.4,107,14.5
2005,South,Kentucky,75,21,33.9,40,18.7
2005,South,Louisiana,Total,67,17.9,483,14.9
2005,South,Louisiana,18–34,<10,—,171,16.7
2005,South,Louisiana,35–54,20,16.8,180,14.3
2005,South,Louisiana,55–74,23,16.2,94,12.8
2005,South,Louisiana,75,10–20,—,38,17.2
2005,South,Maryland,Total,95,19,451,11.2
2005,South,Maryland,18–34,<10,—,121,10.5
2005,South,Maryland,35–54,38,22,196,11.6
2005,South,Maryland,55–74,20–30,—,81,8.9
2005,South,Maryland,75,26,29.5,53,18.4
2005,South,Mississippi,Total,61,25.4,353,17
2005,South,Mississippi,18–34,10,34.5*,105,16.3
2005,South,Mississippi,35–54,20,25.3,158,19.8
2005,South,Mississippi,55–74,19,20.7*,68,14
2005,South,Mississippi,75,12,30.0*,22,15.5
2005,South,North Carolina,Total,202,26.2,980,15.7
2005,South,North Carolina,18–34,17,18.7*,231,12.2
2005,South,North Carolina,35–54,63,24,443,17.9
2005,South,North Carolina,55–74,73,25,220,15.3
2005,South,North Carolina,75,49,39.5,86,19.8
2005,South,Oklahoma,Total,103,28.7,511,19.9
2005,South,Oklahoma,18–34,13,32.5*,154,19.5
2005,South,Oklahoma,35–54,34,31.5,216,22.3
2005,South,Oklahoma,55–74,35,24,102,16.4
2005,South,Oklahoma,75,21,32.3,39,20.6
2005,South,South Carolina,Total,77,18.3,494,16.1
2005,South,South Carolina,18–34,<10,—,147,16.2
2005,South,South Carolina,35–54,31,22.3,221,18.4
2005,South,South Carolina,55–74,22,13,97,12.8
2005,South,South Carolina,75,10–20,—,29,13.5
2005,South,Tennessee,Total,162,30.6,843,19.1
2005,South,Tennessee,18–34,11,22.4*,208,15.9
2005,South,Tennessee,35–54,49,28.2,353,20.3
2005,South,Tennessee,55–74,63,28.9,211,19.9
2005,South,Tennessee,75,39,44.3,71,23.8
2005,South,Texas,Total,415,24.3,2323,14.6
2005,South,Texas,18–34,51,24.4,711,13.1
2005,South,Texas,35–54,143,25.3,989,15.7
2005,South,Texas,55–74,130,19.7,443,13.6
2005,South,Texas,75,91,33.5,180,19.3
2005,South,Virginia,Total,190,24.2,839,15.4
2005,South,Virginia,18–34,26,26.8,226,14.3
2005,South,Virginia,35–54,61,20.6,339,15.2
2005,South,Virginia,55–74,64,23.1,206,16.2
2005,South,Virginia,75,39,33.6,68,18.6
2005,South,West Virginia,Total,57,31.1,248,17.8
2005,South,West Virginia,18–34,<10,—,58,15.8
2005,South,West Virginia,35–54,10–20,—,97,18.3
2005,South,West Virginia,55–74,18,22.5*,58,15.8
2005,South,West Virginia,75,20,54.1,35,28.3
2005,West,Alaska,Total,22,30.1,125,28
2005,West,Alaska,18–34,<10,—,48,34.7
2005,West,Alaska,35–54,12,40.0*,60,29.7
2005,West,Alaska,55–74,<10,—,10–20,—
2005,West,Alaska,75,<10,—,<10,—
2005,West,All,Total,1471,27.5,7998,16.4
2005,West,All,18–34,138,28.6,2132,13.6
2005,West,All,35–54,514,30.9,3347,17.4
2005,West,All,55–74,472,21.8,1642,15.7
2005,West,All,75,346,33.4,877,25.9
2005,West,Arizona,Total,183,34.2,906,21.4
2005,West,Arizona,18–34,15,34.9*,287,20.9
2005,West,Arizona,35–54,65,43.9,352,22.7
2005,West,Arizona,55–74,51,22.6,170,17.3
2005,West,Arizona,75,52,44.1,97,29.6
2005,West,California,Total,466,20,3124,12.2
2005,West,California,18–34,35,17.2,738,8.9
2005,West,California,35–54,150,21.4,1309,12.8
2005,West,California,55–74,155,16.8,679,12.9
2005,West,California,75,126,25.5,398,22.6
2005,West,Colorado,Total,162,38.6,771,22.9
2005,West,Colorado,18–34,16,38.1*,227,20.3
2005,West,Colorado,35–54,56,37.3,328,24
2005,West,Colorado,55–74,53,32.3,148,21.6
2005,West,Colorado,75,37,57.8,68,34.3
2005,West,Hawaii,Total,15,12.1*,103,11.2
2005,West,Hawaii,18–34,<10,—,27,10.9
2005,West,Hawaii,35–54,<10,—,47,13.3
2005,West,Hawaii,55–74,<10,—,19,8.5*
2005,West,Hawaii,75,<10,—,10,10.9*
2005,West,Idaho,Total,52,39.4,222,21.8
2005,West,Idaho,18–34,<10,—,62,18.8
2005,West,Idaho,35–54,16,39.0*,87,22.3
2005,West,Idaho,55–74,10–20,—,44,19.2
2005,West,Idaho,75,16,66.7*,29,41.2
2005,West,Montana,Total,49,47.1,192,27.3
2005,West,Montana,18–34,<10,—,51,26.3
2005,West,Montana,35–54,22,71,86,31.1
2005,West,Montana,55–74,19,40.4*,39,21.8
2005,West,Montana,75,<10,—,16,29.4*
2005,West,Nevada,Total,109,46.8,461,26.2
2005,West,Nevada,18–34,10,58.8*,106,18.8
2005,West,Nevada,35–54,35,50,188,27.7
2005,West,Nevada,55–74,43,41,115,28.1
2005,West,Nevada,75,21,51.2,52,48.2
2005,West,New Mexico,Total,65,34.9,324,23.3
2005,West,New Mexico,18–34,10,58.8*,95,22.6
2005,West,New Mexico,35–54,25,42.4,143,26.8
2005,West,New Mexico,55–74,17,21.3*,55,16.2
2005,West,New Mexico,75,13,43.3*,31,31.6
2005,West,Oregon,Total,117,32,546,20.1
2005,West,Oregon,18–34,<10,—,120,14.6
2005,West,Oregon,35–54,43,38.7,234,22.4
2005,West,Oregon,55–74,37,24.3,122,19.5
2005,West,Oregon,75,30–40,—,70,31.9
2005,West,Utah,Total,38,25,337,20
2005,West,Utah,18–34,<10,—,133,18.5
2005,West,Utah,35–54,14,32.6*,133,23.1
2005,West,Utah,55–74,<10,—,52,17.5
2005,West,Utah,75,<10,—,19,20.6*
2005,West,Washington,Total,170,26.4,802,17.3
2005,West,Washington,18–34,25,41.7,210,14.9
2005,West,Washington,35–54,67,30.6,352,18.8
2005,West,Washington,55–74,53,20.5,165,16.1
2005,West,Washington,75,25,23.6,75,23.2
2005,West,Wyoming,Total,23,44.2,85,22.4
2005,West,Wyoming,18–34,<10,—,28,25.7
2005,West,Wyoming,35–54,<10,—,28,18.5
2005,West,Wyoming,55–74,12,54.5*,20–30,—
2005,West,Wyoming,75,<10,—,<10,—
2006, ,Total U.S.,Total,5968,24.8,32352,14.4
2006, ,Total U.S.,18–34,528,24.2,8453,12.3
2006, ,Total U.S.,35–54,2065,27.9,14017,16.1
2006, ,Total U.S.,55–74,2032,21.3,6967,13.8
2006, ,Total U.S.,75,1341,27.3,2915,16
2006,Northeast,All,Total,706,18.1,4428,10.5
2006,Northeast,All,18–34,65,24.7,1075,8.9
2006,Northeast,All,35–54,227,22.1,2000,12.1
2006,Northeast,All,55–74,244,14.9,962,9.9
2006,Northeast,All,75,170,17.4,391,10.3
2006,Northeast,Connecticut,Total,43,15.9,281,10.5
2006,Northeast,Connecticut,18–34,<10,—,69,9.6
2006,Northeast,Connecticut,35–54,16,22.9*,133,12.1
2006,Northeast,Connecticut,55–74,15,12.8*,54,8.7
2006,Northeast,Connecticut,75,<10,—,25,10.2
2006,Northeast,Maine,Total,39,27.9,155,15
2006,Northeast,Maine,18–34,<10,—,28,10.6
2006,Northeast,Maine,35–54,12,26.7*,72,17.5
2006,Northeast,Maine,55–74,14,24.6*,43,16.2
2006,Northeast,Maine,75,<10,—,12,12.8*
2006,Northeast,Massachusetts,Total,52,11.3,443,8.9
2006,Northeast,Massachusetts,18–34,<10,—,104,7.1
2006,Northeast,Massachusetts,35–54,25,20.7,219,11.2
2006,Northeast,Massachusetts,55–74,14,7.3*,97,8.7
2006,Northeast,Massachusetts,75,<10,—,23,5.2
2006,Northeast,New Hampshire,Total,33,24.8,150,14.8
2006,Northeast,New Hampshire,18–34,<10,—,36,13.2
2006,Northeast,New Hampshire,35–54,<10,—,65,15.3
2006,Northeast,New Hampshire,55–74,15,25.9*,36,15.1
2006,Northeast,New Hampshire,75,<10,—,13,16.6*
2006,Northeast,New Jersey,Total,67,12.5,572,8.6
2006,Northeast,New Jersey,18–34,<10,—,128,6.9
2006,Northeast,New Jersey,35–54,10–20,—,252,9.3
2006,Northeast,New Jersey,55–74,21,9.2,134,8.9
2006,Northeast,New Jersey,75,19,12.9*,58,10.3
2006,Northeast,New York,Total,175,15.4,1290,8.7
2006,Northeast,New York,18–34,17,21.8*,324,7.3
2006,Northeast,New York,35–54,56,18.6,564,9.9
2006,Northeast,New York,55–74,62,13.1,289,8.6
2006,Northeast,New York,75,40,14,113,9
2006,Northeast,Pennsylvania,Total,260,24,1368,14.2
2006,Northeast,Pennsylvania,18–34,22,29.7,351,13.3
2006,Northeast,Pennsylvania,35–54,80,28.5,608,16.5
2006,Northeast,Pennsylvania,55–74,87,19.1,274,11.9
2006,Northeast,Pennsylvania,75,71,25.8,135,13.6
2006,Northeast,Rhode Island,Total,21,24.1,89,10.8
2006,Northeast,Rhode Island,18–34,<10,—,24,9.8
2006,Northeast,Rhode Island,35–54,<10,—,42,13.2
2006,Northeast,Rhode Island,55–74,10,28.6*,10–20,—
2006,Northeast,Rhode Island,75,<10,—,<10,—
2006,Northeast,Vermont,Total,16,30.8*,80,16.4
2006,Northeast,Vermont,18–34,<10,—,10–20,—
2006,Northeast,Vermont,35–54,<10,—,45,23.1
2006,Northeast,Vermont,55–74,<10,—,17,14.0*
2006,Northeast,Vermont,75,<10,—,<10,—
2006,Midwest,All,Total,1377,25.4,7191,14.4
2006,Midwest,All,18–34,115,24.7,1927,12.8
2006,Midwest,All,35–54,495,30.3,3290,17
2006,Midwest,All,55–74,475,21.6,1421,12.6
2006,Midwest,All,75,290,25.7,553,13
2006,Midwest,Illinois,Total,157,18.4,984,10.3
2006,Midwest,Illinois,18–34,13,18.1*,266,8.7
2006,Midwest,Illinois,35–54,57,24.3,445,12
2006,Midwest,Illinois,55–74,60,16.8,208,10.1
2006,Midwest,Illinois,75,27,14.3,65,8.5
2006,Midwest,Indiana,Total,145,28,801,16.9
2006,Midwest,Indiana,18–34,<10,—,214,14.7
2006,Midwest,Indiana,35–54,58,34.3,387,21.3
2006,Midwest,Indiana,55–74,44,21.6,141,13.2
2006,Midwest,Indiana,75,30–40,—,59,15.4
2006,Midwest,Iowa,Total,62,23.8,313,13.8
2006,Midwest,Iowa,18–34,<10,—,77,11.5
2006,Midwest,Iowa,35–54,21,28.4,146,17.3
2006,Midwest,Iowa,55–74,22,20.4,65,12.4
2006,Midwest,Iowa,75,10–20,—,25,10.9
2006,Midwest,Kansas,Total,75,30.6,366,17.8
2006,Midwest,Kansas,18–34,<10,—,113,17.9
2006,Midwest,Kansas,35–54,28,36.4,151,19.3
2006,Midwest,Kansas,55–74,24,27.3,74,16.3
2006,Midwest,Kansas,75,10–20,—,28,15.1
2006,Midwest,Michigan,Total,236,29.2,1104,14.5
2006,Midwest,Michigan,18–34,14,22.6*,247,11
2006,Midwest,Michigan,35–54,94,38.4,532,17.7
2006,Midwest,Michigan,55–74,85,25.5,237,13.5
2006,Midwest,Michigan,75,43,25.7,88,14.2
2006,Midwest,Minnesota,Total,99,23,529,13.5
2006,Midwest,Minnesota,18–34,<10,—,157,13.2
2006,Midwest,Minnesota,35–54,32,26,236,15.2
2006,Midwest,Minnesota,55–74,34,18.4,98,11.6
2006,Midwest,Minnesota,75,20–30,—,38,12
2006,Midwest,Missouri,Total,161,29.7,773,17.6
2006,Midwest,Missouri,18–34,19,39.6*,209,15.9
2006,Midwest,Missouri,35–54,56,33.9,344,20.6
2006,Midwest,Missouri,55–74,45,20.7,138,13.4
2006,Midwest,Missouri,75,40,35.7,82,21.4
2006,Midwest,Nebraska,Total,39,25.2,186,14.1
2006,Midwest,Nebraska,18–34,<10,—,50,12.1
2006,Midwest,Nebraska,35–54,<10,—,77,15.8
2006,Midwest,Nebraska,55–74,18,30.0*,44,14.9
2006,Midwest,Nebraska,75,<10,—,15,12.4*
2006,Midwest,North Dakota,Total,16,25.0*,84,17.2
2006,Midwest,North Dakota,18–34,<10,—,42,27.6
2006,Midwest,North Dakota,35–54,<10,—,28,16
2006,Midwest,North Dakota,55–74,<10,—,10–20,—
2006,Midwest,North Dakota,75,<10,—,<10,—
2006,Midwest,Ohio,Total,237,23.4,1282,14.7
2006,Midwest,Ohio,18–34,22,25.6,358,14.1
2006,Midwest,Ohio,35–54,71,22.3,548,16.3
2006,Midwest,Ohio,55–74,84,21.2,264,13
2006,Midwest,Ohio,75,60,28.3,112,14.7
2006,Midwest,South Dakota,Total,24,30.8,115,19.6
2006,Midwest,South Dakota,18–34,<10,—,36,20.7
2006,Midwest,South Dakota,35–54,<10,—,54,24.9
2006,Midwest,South Dakota,55–74,12,41.4*,20–30,—
2006,Midwest,South Dakota,75,<10,—,<10,—
2006,Midwest,Wisconsin,Total,126,27.6,654,15.4
2006,Midwest,Wisconsin,18–34,<10,—,158,12.6
2006,Midwest,Wisconsin,35–54,57,42.5,342,20.6
2006,Midwest,Wisconsin,55–74,42,21.6,119,12.5
2006,Midwest,Wisconsin,75,10–20,—,35,9.6
2006,South,Alabama,Total,118,27.7,564,16.2
2006,South,Alabama,18–34,18,42.9*,177,17.1
2006,South,Alabama,35–54,41,28.7,213,16.3
2006,South,Alabama,55–74,38,23,127,15.1
2006,South,Alabama,75,21,27.6,47,16.5
2006,South,All,Total,2403,25.3,12591,15.4
2006,South,All,18–34,222,22.5,3248,13
2006,South,All,35–54,826,26.3,5373,17.2
2006,South,All,55–74,829,22.9,2843,15.2
2006,South,All,75,526,29.9,1127,17.4
2006,South,Arkansas,Total,79,29.5,363,17.2
2006,South,Arkansas,18–34,<10,—,93,14.7
2006,South,Arkansas,35–54,26,31.3,149,19.3
2006,South,Arkansas,55–74,24,22.9,84,16.2
2006,South,Arkansas,75,20–30,—,37,19.9
2006,South,Delaware,Total,16,19.5*,87,13.4
2006,South,Delaware,18–34,<10,—,22,11.5
2006,South,Delaware,35–54,<10,—,37,15
2006,South,Delaware,55–74,<10,—,20–30,—
2006,South,Delaware,75,<10,—,<10,—
2006,South,District of Columbia,Total,<10,—,30,6.5
2006,South,District of Columbia,18–34,<10,—,<10,—
2006,South,District of Columbia,35–54,<10,—,12,7.6*
2006,South,District of Columbia,55–74,<10,—,<10,—
2006,South,District of Columbia,75,<10,—,<10,—
2006,South,Florida,Total,500,28,2401,17.1
2006,South,Florida,18–34,37,26.4,466,12.2
2006,South,Florida,35–54,162,31.2,977,19.1
2006,South,Florida,55–74,177,26.3,637,18.2
2006,South,Florida,75,124,27.3,321,20.3
2006,South,Georgia,Total,165,22.3,902,13.2
2006,South,Georgia,18–34,16,20.0*,223,10
2006,South,Georgia,35–54,68,24.4,415,14.9
2006,South,Georgia,55–74,50,17.8,184,12.8
2006,South,Georgia,75,31,31,80,19.9
2006,South,Kentucky,Total,121,34.5,608,19
2006,South,Kentucky,18–34,<10,—,166,17.4
2006,South,Kentucky,35–54,47,41.2,272,22.1
2006,South,Kentucky,55–74,43,30.5,124,16.4
2006,South,Kentucky,75,20–30,—,46,18.4
2006,South,Louisiana,Total,68,18.9,480,15.1
2006,South,Louisiana,18–34,<10,—,160,15.9
2006,South,Louisiana,35–54,21,18.4,194,16.2
2006,South,Louisiana,55–74,23,17.2,92,12.5
2006,South,Louisiana,75,10–20,—,34,13.9
2006,South,Maryland,Total,86,18,485,11.5
2006,South,Maryland,18–34,11,23.9*,150,12.1
2006,South,Maryland,35–54,21,12.4,188,10.9
2006,South,Maryland,55–74,34,19.2,111,11.7
2006,South,Maryland,75,20,23.5,36,11.8
2006,South,Mississippi,Total,67,29.1,319,14.9
2006,South,Mississippi,18–34,<10,—,80,11.9
2006,South,Mississippi,35–54,20,26.3,138,17.2
2006,South,Mississippi,55–74,26,30.6,74,14.8
2006,South,Mississippi,75,10–20,—,27,16
2006,South,North Carolina,Total,204,25.5,1079,16.3
2006,South,North Carolina,18–34,18,19.6*,284,14.2
2006,South,North Carolina,35–54,66,24.2,478,18.5
2006,South,North Carolina,55–74,75,24.9,235,15.2
2006,South,North Carolina,75,45,33.6,82,16.5
2006,South,Oklahoma,Total,94,26.5,521,19.5
2006,South,Oklahoma,18–34,<10,—,144,17.4
2006,South,Oklahoma,35–54,27,24.8,225,23
2006,South,Oklahoma,55–74,40,27.8,114,18
2006,South,Oklahoma,75,10–20,—,38,16.7
2006,South,South Carolina,Total,95,22.8,510,15.7
2006,South,South Carolina,18–34,15,34.9*,124,12.8
2006,South,South Carolina,35–54,25,18,218,17.7
2006,South,South Carolina,55–74,36,21.6,130,16.2
2006,South,South Carolina,75,19,28.4*,38,15.1
2006,South,Tennessee,Total,169,32.6,856,18.7
2006,South,Tennessee,18–34,16,34.0*,197,14.3
2006,South,Tennessee,35–54,76,43.9,414,23.7
2006,South,Tennessee,55–74,54,26,186,16.9
2006,South,Tennessee,75,23,25.3,59,16.7
2006,South,Texas,Total,394,23.1,2269,13.4
2006,South,Texas,18–34,40,19.8,698,12
2006,South,Texas,35–54,134,23.8,938,14.2
2006,South,Texas,55–74,131,20.2,457,13.4
2006,South,Texas,75,89,30.5,176,16.2
2006,South,Virginia,Total,162,21,855,14.9
2006,South,Virginia,18–34,<10,—,205,12
2006,South,Virginia,35–54,64,22.1,377,16.4
2006,South,Virginia,55–74,54,19.7,200,15.3
2006,South,Virginia,75,30–40,—,73,17.8
2006,South,West Virginia,Total,56,32.4,262,18.4
2006,South,West Virginia,18–34,<10,—,51,13.1
2006,South,West Virginia,35–54,20,42.6,128,24.2
2006,South,West Virginia,55–74,19,25.7*,61,16.3
2006,South,West Virginia,75,10–20,—,22,16.3
2006,West,Alaska,Total,27,36,124,25.9
2006,West,Alaska,18–34,<10,—,49,30.6
2006,West,Alaska,35–54,<10,—,51,24.7
2006,West,Alaska,55–74,10,33.3*,10–20,—
2006,West,Alaska,75,<10,—,<10,—
2006,West,All,Total,1482,28.5,8142,15.9
2006,West,All,18–34,126,27,2203,13.2
2006,West,All,35–54,517,32.3,3354,16.9
2006,West,All,55–74,484,23.3,1741,16
2006,West,All,75,355,34,844,22.5
2006,West,Arizona,Total,203,37.1,930,20.6
2006,West,Arizona,18–34,16,38.1*,252,17.1
2006,West,Arizona,35–54,64,42.7,348,21.2
2006,West,Arizona,55–74,75,33.3,219,21.4
2006,West,Arizona,75,48,36.9,111,28.9
2006,West,California,Total,531,24.3,3244,12.1
2006,West,California,18–34,47,24.1,805,9
2006,West,California,35–54,176,26.7,1341,12.8
2006,West,California,55–74,171,20.1,713,13.1
2006,West,California,75,137,28.7,385,20
2006,West,Colorado,Total,125,29.4,709,19.9
2006,West,Colorado,18–34,11,26.8*,214,18.5
2006,West,Colorado,35–54,44,29.7,320,22.3
2006,West,Colorado,55–74,46,27.2,131,17.6
2006,West,Colorado,75,24,35.8,44,20
2006,West,Hawaii,Total,15,12.1*,115,12.1
2006,West,Hawaii,18–34,<10,—,37,13.6
2006,West,Hawaii,35–54,<10,—,49,13.8
2006,West,Hawaii,55–74,<10,—,19,8.3*
2006,West,Hawaii,75,<10,—,10,10.6*
2006,West,Idaho,Total,41,30.8,210,19.7
